Country,Est. 2010 percent that is Buddhist,Latitude ,longitude 
Montenegro,< 0.1%,,
Montserrat,< 0.1%,,
Morocco,< 0.1%,,
Mozambique,< 0.1%,,
Namibia,< 0.1%,,
Nicaragua,< 0.1%,,
Niger,< 0.1%,,
Nigeria,< 0.1%,,
Niue,< 0.1%,,
Pakistan,< 0.1%,,
Palestinian territories,< 0.1%,,
Papua New Guinea,< 0.1%,,
Paraguay,< 0.1%,,
Philippines,< 0.1%,,
Poland,< 0.1%,,
Republic of Macedonia,< 0.1%,,
Republic of the Congo,< 0.1%,,
Romania,< 0.1%,,
Rwanda,< 0.1%,,
Samoa,< 0.1%,,
San Marino,< 0.1%,,
Sao Tome and Principe,< 0.1%,,
Senegal,< 0.1%,,
Serbia,< 0.1%,,
Seychelles,< 0.1%,,
Sierra Leone,< 0.1%,,
Slovakia,< 0.1%,,
Slovenia,< 0.1%,,
Somalia,< 0.1%,,
South Sudan,< 0.1%,,
Spain,< 0.1%,,
St. Helena,< 0.1%,,
St. Kitts and Nevis,< 0.1%,,
St. Lucia,< 0.1%,,
St. Pierre and Miquelon,< 0.1%,,
St. Vincent and the Grenadines,< 0.1%,,
Sudan,< 0.1%,,
Swaziland,< 0.1%,,
Syria,< 0.1%,,
Tajikistan,< 0.1%,,
Tanzania,< 0.1%,,
Timor-Leste,< 0.1%,,
Togo,< 0.1%,,
Tokelau,< 0.1%,,
Tonga,< 0.1%,,
Tunisia,< 0.1%,,
Turkey,< 0.1%,,
Turkmenistan,< 0.1%,,
Turks and Caicos Islands,< 0.1%,,
Tuvalu,< 0.1%,,
U.S. Virgin Islands,< 0.1%,,
Uganda,< 0.1%,,
Ukraine,< 0.1%,,
Uruguay,< 0.1%,,
Uzbekistan,< 0.1%,,
Vanuatu,< 0.1%,,
Vatican City,< 0.1%,,
Venezuela,< 0.1%,,
Wallis and Futuna,< 0.1%,,
Western Sahara,< 0.1%,,
Yemen,< 0.1%,,
Zambia,< 0.1%,,
Zimbabwe,< 0.1%,,
Country,Est. 2010 percent that is Buddhist,,
